岗位ID,岗位名称,公司,城市,一级簇号,一级簇名,二级簇名
J0184,高级Web后端开发工程师,厦门睿云联创新科技股份有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0185,ERP系统开发工程师,厦门钨业股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0186,java开发工程师-出差,厦门至恒融兴信息技术股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0187,java开发（全栈）,厦门争新科技有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0188,后端开发工程师（java+go）（短期项目）,北京企慕科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0189,中级java工程师,厦门争新科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0190,Java开发-双休,诚迈科技股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0191,Java开发,软通动力信息技术(集团)股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0192,Java开发工程师,科锐尔人力资源服务(苏州)有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0193,Java开发工程师（ERP业务）,厦门争新科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0194,java（福建出差住宿差补）,北京神州数字科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0195,Java开发工程师,厦门至恒融兴信息技术股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0196,后端开发,诚迈科技股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0197,Java开发工程师（AI应用开发方向）,福建点景大数据有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0198,java开发助理,厦门瀚海潮升科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0199,Java,中科飞龙(厦门)科技发展有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0200,软件工程师（JAVA）-厦门总部研发,厦门至恒融兴信息技术股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0201,AI算法工程师(J13277),特宝生物,厦门,7,算法/人工智能（智能驾驶、传感器融合）,—
J0202,运维开发工程师(J14434),特宝生物,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0203,软件IT技术支持岗,厦门富企来网络科技有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,硬件/仪器/自动化（组态软件、scratch）
J0204,嵌入式软件开发工程师,厦门四五零科技有限公司,厦门,5,嵌入式/硬件（rtos、32位单片机）,—
J0205,工厂智能化专案实习生,友达光电(厦门)有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0206,AI应用工程师(J13278),特宝生物,厦门,0,制造业质量/检验（成本管理、抖音）,算法/AI 应用（tensorflow、vit）
J0207,软件测试工程师,厦门瀚海潮升科技有限公司,厦门,3,软件测试（信号测试、安全测试）,—
J0208,功能测试（银行+支付）,北京捷科智诚科技有限公司上海分公司,厦门,3,软件测试（信号测试、安全测试）,—
J0209,智能终端研发工程师 (MJ000150),厦门睿云联创新科技股份有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0210,Android开发工程师 (MJ000139),厦门睿云联创新科技股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0211,云平台高级后端工程师 (MJ000041),厦门睿云联创新科技股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0212,全栈开发工程师,厦门至恒融兴信息技术股份有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0213,AI资深/主任工程师 (MJ004759),厦门海辰储能科技股份有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,算法/AI 应用（tensorflow、vit）
J0214,测试工程师,软通动力信息技术(集团)股份有限公司,厦门,3,软件测试（信号测试、安全测试）,—
J0215,流程设计工程师（SAP SD）,厦门亿联网络技术股份有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0216,golang开发工程师,厦门亿联网络技术股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0217,大数据技术专业教师,厦门兴才职业技术学院,厦门,2,数据分析/BI（数仓开发、kettle）,—
J0218,软件工程师,达昊(厦门)制造有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0219,嵌入式软件工程师(RTOS Cat1模组),厦门四五零科技有限公司,厦门,5,嵌入式/硬件（rtos、32位单片机）,—
J0220,数仓开发工程师,软通动力信息技术(集团)股份有限公司,厦门,2,数据分析/BI（数仓开发、kettle）,—
J0221,鸿蒙开发工程师,软通动力信息技术(集团)股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0222,PCS系统主任/高级工程师 (MJ004802),厦门海辰储能科技股份有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0223,web前端开发实习生,厦门睿云联创新科技股份有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0224,实施工程师（选矿MES）,浪潮集团,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0225,软件项目经理（厦门）,用友网络科技股份有限公司厦门分公司,厦门,6,产品/项目管理（国内市场、需求分析）,—
J0226,实施工程师（采矿MES）,浪潮集团,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0227,前端开发工程师-产品研发部-厦门,厦门至恒融兴信息技术股份有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0228,直招-Net/C#高级后端工程师（18-30k）,四川智服人力资源有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0229,.NET/C#高级后端工程师,四川智服人力资源有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0230,Linux软件工程师,厦门四五零科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0231,研发工程师,正航软件,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0232,中高级Web后端开发工程师 (MJ000040),厦门睿云联创新科技股份有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0233,中级Web后端开发工程师 (MJ000110),厦门睿云联创新科技股份有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0234,软件工程师,厦门一维天地信息技术有限公司,厦门,4,后端开发（hibernate、linux开发）,—
