简历ID,配对数,Top10重合度,Spearman相关,模型NDCG@10,规则NDCG@10,模型MAE
R095,150,1.0,0.992,0.0,0.0,0.645
R096,150,0.818,0.987,1.0,1.0,0.966
R097,150,1.0,0.99,0.0,0.0,0.538
R098,150,0.667,0.994,1.0,1.0,0.748
R099,150,0.818,0.995,1.0,1.0,0.882
R100,150,1.0,0.997,1.0,1.0,1.029
R101,150,1.0,0.992,0.0,0.0,0.506
R102,1323,0.818,0.973,1.0,1.0,0.675
R103,208,0.818,0.993,0.9337,0.9306,1.464
R104,385,0.429,0.993,0.0,0.0,0.94
R105,150,1.0,0.984,0.0,0.0,0.694
R106,150,0.818,0.99,0.0,0.0,0.778
R107,385,0.538,0.968,0.7668,0.7668,0.811
R108,150,0.538,0.995,0.0,0.0,0.932
R109,150,0.818,0.995,0.8319,0.8319,0.75
R110,150,1.0,0.996,0.0,0.0,0.918
R111,385,1.0,0.997,1.0,1.0,0.593
R112,150,0.667,0.987,0.0,0.0,0.751
R113,150,0.818,0.996,1.0,1.0,0.67
R114,150,0.667,0.991,0.0,0.0,0.601
R115,150,0.429,0.982,0.0,0.0,0.977
R116,150,0.818,0.995,0.9202,0.9202,0.829
R117,150,0.538,0.989,0.0,0.0,1.029
R118,150,1.0,0.992,0.9197,0.9197,1.057
R119,150,1.0,0.995,1.0,1.0,0.73
R120,1132,1.0,0.993,1.0,1.0,0.715
R121,150,0.818,0.992,0.0,0.0,1.154
R122,487,0.25,0.996,0.89,0.89,0.828
R123,1319,1.0,0.996,1.0,1.0,0.808
R124,150,0.667,0.993,0.0,0.0,0.859
R125,288,0.429,0.992,0.6367,0.6367,0.632
R126,288,0.818,0.997,1.0,1.0,0.745
R127,150,0.538,0.978,0.0,0.0,0.558
R128,1132,1.0,0.991,1.0,1.0,0.756
R129,487,0.333,0.998,1.0,1.0,0.783
R130,150,0.818,0.996,1.0,1.0,1.251
R131,367,0.818,0.98,0.6131,0.6131,0.817
R132,150,0.429,0.992,0.8219,0.8301,0.739
R133,385,0.429,0.987,0.0,0.0,0.908
R134,367,0.538,0.998,0.9364,1.0,0.651
R135,150,0.667,0.995,0.8688,0.8688,0.729
R136,150,0.667,0.92,0.0,0.0,0.959
R137,237,0.818,0.998,0.9337,1.0,0.865
R138,385,1.0,0.995,0.0,0.0,0.643
R139,150,0.667,0.994,1.0,0.9202,1.368
R140,2223,1.0,0.997,0.9306,0.9364,0.71
R141,385,1.0,0.996,1.0,1.0,0.654
R142,150,1.0,0.972,0.4307,0.4307,1.036
R143,150,1.0,0.997,1.0,1.0,0.595
R144,150,1.0,0.995,0.0,0.0,1.134
R145,208,0.667,0.997,1.0,1.0,0.945
R146,150,0.667,0.99,0.0,0.0,0.762
R147,1319,0.818,0.996,1.0,1.0,0.723
R148,1023,0.538,0.992,0.7537,0.8319,0.658
R149,150,1.0,0.994,1.0,1.0,0.677
R150,150,1.0,0.992,0.0,0.0,0.957
R151,1132,0.818,0.991,1.0,1.0,0.682
R152,150,1.0,0.996,0.9877,1.0,0.687
R153,150,0.818,0.989,0.8319,0.8319,1.09
R154,150,1.0,0.997,0.6448,0.6448,0.949
R155,150,1.0,0.996,0.9197,0.9197,0.582
R156,150,1.0,0.992,0.9266,0.9337,0.81
R157,150,0.667,0.983,0.0,0.0,0.757
R158,1319,1.0,0.997,1.0,1.0,0.758
R159,150,0.667,0.992,1.0,1.0,0.757
R160,1319,1.0,0.996,1.0,1.0,0.911
