口径,任务,实验,模型,特征,重要性
按岗位,T1回归,①全特征+纯净标签,XGBoost,薪资上限与期望下限比,0.01233
按岗位,T1回归,①全特征+纯净标签,XGBoost,技术认证数,0.0033
按岗位,T1回归,①全特征+纯净标签,XGBoost,通用证书数,0.00044
按岗位,T1回归,①全特征+纯净标签,XGBoost,技术认证方向命中数,0.0127
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位大类,0.00013
按岗位,T1回归,①全特征+纯净标签,XGBoost,期望岗位大类,0.00022
按岗位,T1回归,①全特征+纯净标签,XGBoost,岗位大类一致,0.00093
按岗位,T1回归,①全特征+纯净标签,XGBoost,今日回复数,7e-05
按岗位,T1回归,①全特征+纯净标签,XGBoost,是否在线,2e-05
按岗位,T1回归,①全特征+纯净标签,XGBoost,同公司岗位数,0.00014
按岗位,T1回归,②全特征+噪声标签,随机森林,简历技能数,0.00065
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位技能要求数,0.00836
按岗位,T1回归,②全特征+噪声标签,随机森林,技能命中数,0.07841
按岗位,T1回归,②全特征+噪声标签,随机森林,技能精确命中数,0.00015
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位技能标签数,0.00096
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位名称与期望岗位相似度,0.00187
按岗位,T1回归,②全特征+噪声标签,随机森林,描述与简历文本相似度,0.00297
按岗位,T1回归,②全特征+噪声标签,随机森林,描述与技能特长相似度,0.00244
按岗位,T1回归,②全特征+噪声标签,随机森林,专业命中岗位描述,0.01349
按岗位,T1回归,②全特征+噪声标签,随机森林,简历工作年限,0.39088
按岗位,T1回归,②全特征+噪声标签,随机森林,是否应届,0.00469
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位经验下限,0.08511
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位经验上限,0.07888
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位经验不限,1e-05
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位经验缺失,0.0348
按岗位,T1回归,②全特征+噪声标签,随机森林,简历学历序数,0.02546
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位学历要求序数,0.03783
按岗位,T1回归,②全特征+噪声标签,随机森林,距离km,0.18661
按岗位,T1回归,②全特征+噪声标签,随机森林,是否同城,0.00048
按岗位,T1回归,②全特征+噪声标签,随机森林,是否同省,0.00011
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位城市岗位数,0.00105
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位城市简历数,0.00056
按岗位,T1回归,②全特征+噪声标签,随机森林,简历期望薪资下限,0.00471
按岗位,T1回归,②全特征+噪声标签,随机森林,期望薪资面议,0.001
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位薪资下限,0.00156
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位薪资上限,0.00197
按岗位,T1回归,②全特征+噪声标签,随机森林,薪资上限与期望下限比,0.0253
按岗位,T1回归,②全特征+噪声标签,随机森林,技术认证数,0.00164
按岗位,T1回归,②全特征+噪声标签,随机森林,通用证书数,0.00045
按岗位,T1回归,②全特征+噪声标签,随机森林,技术认证方向命中数,0.00318
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位大类,0.0007
按岗位,T1回归,②全特征+噪声标签,随机森林,期望岗位大类,0.00073
按岗位,T1回归,②全特征+噪声标签,随机森林,岗位大类一致,0.00018
按岗位,T1回归,②全特征+噪声标签,随机森林,今日回复数,0.00106
按岗位,T1回归,②全特征+噪声标签,随机森林,是否在线,0.00025
按岗位,T1回归,②全特征+噪声标签,随机森林,同公司岗位数,0.00149
按岗位,T1回归,②全特征+噪声标签,XGBoost,简历技能数,0.00951
