被剔除的词,出现岗位数,剔除原因
化工设备,1,行业/企业/平台等非技能标签
制造业物料采购,1,行业/企业/平台等非技能标签
乳品饮料,1,行业/企业/平台等非技能标签
旅游服务,1,福利待遇类
食品快消行业,1,行业/企业/平台等非技能标签
蛋白纯化工艺,1,行业/企业/平台等非技能标签
厂区物流优化,1,行业/企业/平台等非技能标签
食品工艺管理,1,行业/企业/平台等非技能标签
化工材料,1,行业/企业/平台等非技能标签
话费补贴,1,福利待遇类
物流订单调度,1,行业/企业/平台等非技能标签
食品安全管理,1,行业/企业/平台等非技能标签
物流,1,行业/企业/平台等非技能标签
全链路物流体系搭建优化,1,行业/企业/平台等非技能标签
双休法休,1,福利待遇类
TPM体系搭建,1,行业/企业/平台等非技能标签
不加班,1,福利待遇类
整车制造行业财务,1,行业/企业/平台等非技能标签
各种节日福利,1,福利待遇类
食品采购,1,行业/企业/平台等非技能标签
能源化工产品,1,行业/企业/平台等非技能标签
饮料罐生产流程,1,行业/企业/平台等非技能标签
LCM模组行业经验,1,行业/企业/平台等非技能标签
京东平台,1,行业/企业/平台等非技能标签
锅炉制造,1,行业/企业/平台等非技能标签
体检,1,福利待遇类
食品行业仓储合规,1,行业/企业/平台等非技能标签
物流配送管理,1,行业/企业/平台等非技能标签
食品/饮料/烟酒,1,行业/企业/平台等非技能标签
食品质量,1,行业/企业/平台等非技能标签
化工产品理化检测,1,行业/企业/平台等非技能标签
食品添加剂,1,行业/企业/平台等非技能标签
生产制造企业,1,行业/企业/平台等非技能标签
阀门行业,1,行业/企业/平台等非技能标签
五险缴纳,1,福利待遇类
母婴玩具批发/零售/贸易,1,行业/企业/平台等非技能标签
旅游类,1,福利待遇类
精细化工产品,1,行业/企业/平台等非技能标签
银行网银管理,1,行业/企业/平台等非技能标签
船舶修造行业招聘,1,行业/企业/平台等非技能标签
SAAS平台,1,行业/企业/平台等非技能标签
全额社保,1,福利待遇类
体系平台工程师,1,行业/企业/平台等非技能标签
贷款行业,1,行业/企业/平台等非技能标签
物流调度,1,行业/企业/平台等非技能标签
热化工,1,行业/企业/平台等非技能标签
跨平台开发,1,行业/企业/平台等非技能标签
体检免费,1,福利待遇类
食品专业,1,行业/企业/平台等非技能标签
半导体行业,1,行业/企业/平台等非技能标签
带薪年休假,1,福利待遇类
交通补贴,1,福利待遇类
检验检测行业,1,行业/企业/平台等非技能标签
包住宿,1,福利待遇类
机械设备与配件批发/零售/贸易,1,行业/企业/平台等非技能标签
发放奖金,1,福利待遇类
仪器仪表设备维护,1,行业/企业/平台等非技能标签
虚拟化平台,1,行业/企业/平台等非技能标签
能源行业,1,行业/企业/平台等非技能标签
物流园区,1,行业/企业/平台等非技能标签
社区零售运营,1,行业/企业/平台等非技能标签
增值业务体系搭建,1,行业/企业/平台等非技能标签
新能源充电桩,1,行业/企业/平台等非技能标签
汽车冲压行业,1,行业/企业/平台等非技能标签
自动化行业经验,1,行业/企业/平台等非技能标签
住房公积金,1,福利待遇类
